DATA_INIZIO_AMMINISTRATIVA,DATA_FINE_AMMINISTRATIVA,COD_CATASTO,PRO_COM,PRO_COM_T,COMUNE,COMUNE_IT,COMUNE_A,COD_DEN_STORICO,COD_UTS,ID_UTS_TIPO,DESC_UTS_TIPO,COD_REG,SIGLA_UTS,COD_RIP
15-05-1929,15-05-1929,I010,21887,021887,San Martino in Casies/St. Martin in Gsies,SAN MARTINO IN CASIES,ST. MARTIN IN GSIES,,021,1,Provincia,00,BZ,2
16-10-1920,14-02-1923,H989,802432,802432,San Martino in Passiria/St. Martin in Passeier,SAN MARTINO IN PASSIRIA,ST. MARTIN IN PASSEIER,,802,1,Provincia,00,TN,2
14-02-1923,27-04-1923,H989,22498,022498,San Martino in Passiria/St. Martin in Passeier,SAN MARTINO IN PASSIRIA,ST. MARTIN IN PASSEIER,,022,1,Provincia,00,TN,2
27-04-1923,12-01-1927,H989,22498,022498,San Martino/St. Martin,SAN MARTINO,ST. MARTIN,021529,022,1,Provincia,00,TN,2
12-01-1927,07-04-1928,H989,21083,021083,San Martino/St. Martin,SAN MARTINO,ST. MARTIN,021529,021,1,Provincia,00,BZ,2
07-04-1928,07-04-1928,H989,21083,021083,San Martino/St. Martin,SAN MARTINO,ST. MARTIN,021529,021,1,Provincia,00,BZ,2
16-10-1920,14-02-1923,I087,802434,802434,San Pietro in Valle Aurina/St. Peter in Ahrn,SAN PIETRO IN VALLE AURINA,ST. PETER IN AHRN,021568,802,1,Provincia,00,TN,2
14-02-1923,27-04-1923,I087,22499,022499,San Pietro in Valle Aurina/St. Peter in Ahrn,SAN PIETRO IN VALLE AURINA,ST. PETER IN AHRN,021568,022,1,Provincia,00,TN,2
27-04-1923,12-01-1927,I087,22499,022499,San Pietro/St. Peter in Ahrn,SAN PIETRO,ST. PETER IN AHRN,,022,1,Provincia,00,TN,2
12-01-1927,21-02-1929,I087,21888,021888,San Pietro/St. Peter in Ahrn,SAN PIETRO,ST. PETER IN AHRN,,021,1,Provincia,00,BZ,2
21-02-1929,21-02-1929,I087,21888,021888,San Pietro/St. Peter in Ahrn,SAN PIETRO,ST. PETER IN AHRN,,021,1,Provincia,00,BZ,2
16-10-1920,14-02-1923,I159,802435,802435,San Sigismondo/St. Sigmund,SAN SIGISMONDO,ST. SIGMUND,,802,1,Provincia,00,TN,2
14-02-1923,12-01-1927,I159,22625,022625,San Sigismondo/St. Sigmund,SAN SIGISMONDO,ST. SIGMUND,,022,1,Provincia,00,TN,2
12-01-1927,24-03-1929,I159,21889,021889,San Sigismondo/St. Sigmund,SAN SIGISMONDO,ST. SIGMUND,,021,1,Provincia,00,BZ,2
24-03-1929,24-03-1929,I159,21889,021889,San Sigismondo/St. Sigmund,SAN SIGISMONDO,ST. SIGMUND,,021,1,Provincia,00,BZ,2
